"Identificador do processo de viagem";"Meio de transporte";"País - Origem ida";"UF - Origem ida";"Cidade - Origem ida";"País - Destino ida";"UF - Destino ida";"Cidade - Destino ida";"País - Origem volta";"UF - Origem volta";"Cidade - Origem volta";"Pais - Destino volta";"UF - Destino volta";"Cidade - Destino volta";"Valor da passagem";"Taxa de serviço"
"0000000000014046485";"Rodoviário";"Brasil";"Ceará";"Sobral";"Brasil";"Ceará";"Fortaleza";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"33,25";"10,97"
"0000000000014046485";"Rodoviário";"Brasil";"Ceará";"Fortaleza";"Brasil";"Ceará";"Sobral";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"40,95";"13,51"
"0000000000014166390";"Aéreo";"Brasil";"Paraná";"Londrina";"Brasil";"Mato Grosso";"Sinop";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"518,09";"0,00"
"0000000000014166390";"Aéreo";"Brasil";"Mato Grosso";"Sinop";"Brasil";"Paraná";"Londrina";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"665,38";"0,00"
"0000000000014201345";"Aéreo";"Brasil";"Paraná";"Curitiba";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"369,30";"0,00"
"0000000000014201345";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Paraná";"Curitiba";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"170,45";"0,00"
"0000000000014223544";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Bolívia";"";"Santa Cruz de la Sierra";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"767,79";"0,00"
"0000000000014227023";"Aéreo";"Brasil";"Paraná";"Curitiba";"Brasil";"São Paulo";"Ribeirão Preto";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"562,13";"0,00"
"0000000000014227023";"Aéreo";"Brasil";"São Paulo";"Ribeirão Preto";"Brasil";"Paraná";"Curitiba";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"635,28";"0,00"
"0000000000014263076";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Canadá";"";"Vancouver";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"3635,74";"0,00"
"0000000000014271222";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"286,24";"0,00"
"0000000000014271246";"Aéreo";"Brasil";"Amazonas";"Manaus";"Brasil";"Pará";"Belém";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"622,47";"0,00"
"0000000000014271246";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Amazonas";"Manaus";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"766,10";"0,00"
"0000000000014271246";"Aéreo";"Brasil";"Pará";"Belém";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"592,40";"0,00"
"0000000000014271246";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"636,15";"0,00"
"0000000000014271373";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"230,59";"0,00"
"0000000000014292724";"Aéreo";"Estados Unidos da América";"";"Austin";"Índia";"";"Nova Delhi";"Índia";"";"Nova Delhi";"Estados Unidos da América";"";"Austin";"3637,35";"0,00"
"0000000000014296742";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Filipinas";"";"Manilla";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"6108,06";"0,00"
"0000000000014302981";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Filipinas";"";"Manilla";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"6117,92";"0,00"
"0000000000014302987";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Filipinas";"";"Manilla";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"4704,15";"0,00"
"0000000000014303000";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Filipinas";"";"Manilla";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"5021,85";"0,00"
"0000000000014303414";"Aéreo";"México";"";"Cidade do México";"Nicarágua";"";"Manágua";"Nicarágua";"";"Manágua";"México";"";"Cidade do México";"1738,17";"0,00"
"0000000000014303414";"Aéreo";"México";"";"Cidade do México";"Nicarágua";"";"Manágua";"Nicarágua";"";"Manágua";"México";"";"Cidade do México";"1736,03";"0,00"
"0000000000014303711";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Nicarágua";"";"Manágua";"Nicarágua";"";"Manágua";"Brasil";"São Paulo";"São Paulo";"3561,76";"0,00"
"0000000000014304475";"Aéreo";"Brasil";"Alagoas";"Maceió";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"189,85";"0,00"
"0000000000014304475";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Alagoas";"Maceió";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"243,20";"0,00"
"0000000000014318914";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Portugal";"";"Lisboa";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2278,55";"0,00"
"0000000000014318914";"Aéreo";"Portugal";"";"Lisboa";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"2278,55";"0,00"
"0000000000014321150";"Aéreo";"Brasil";"Rio Grande do Norte";"Natal";"Brasil";"Sergipe";"Aracaju";"Brasil";"Sergipe";"Aracaju";"Brasil";"Rio Grande do Norte";"Natal";"747,31";"0,00"
"0000000000014321418";"Aéreo";"Rússia";"";"Moscou";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Rússia";"";"Moscou";"5418,92";"0,00"
"0000000000014321491";"Aéreo";"Rússia";"";"Moscou";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Rússia";"";"Moscou";"5418,92";"0,00"
"0000000000014321548";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"506,07";"0,00"
"0000000000014321548";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"209,80";"0,00"
"0000000000014321571";"Aéreo";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Brasil";"Bahia";"Salvador";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"295,68";"0,00"
"0000000000014321571";"Aéreo";"Brasil";"Bahia";"Salvador";"Brasil";"Rio Grande do Sul";"Porto Alegre";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"295,68";"0,00"
"0000000000014324018";"Aéreo";"Brasil";"Mato Grosso do Sul";"Dourados";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"441,78";"0,00"
"0000000000014324018";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"Mato Grosso do Sul";"Dourados";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"672,74";"0,00"
"0000000000014336477";"Aéreo";"Brasil";"Ceará";"Fortaleza";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"418,77";"0,00"
"0000000000014336477";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Ceará";"Fortaleza";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"416,90";"0,00"
"0000000000014339058";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"França";"";"Paris";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"3670,77";"0,00"
"0000000000014340242";"Aéreo";"Brasil";"Minas Gerais";"Governador Valadares";"Brasil";"Minas Gerais";"Belo Horizonte";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"252,49";"0,00"
"0000000000014340242";"Aéreo";"Brasil";"Minas Gerais";"Belo Horizonte";"Brasil";"Minas Gerais";"Governador Valadares";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"252,49";"0,00"
"0000000000014340923";"Aéreo";"Brasil";"Minas Gerais";"Governador Valadares";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"513,09";"0,00"
"0000000000014340923";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Argentina";"";"Buenos Aires";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1270,80";"0,00"
"0000000000014340923";"Aéreo";"Argentina";"";"Buenos Aires";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"998,27";"0,00"
"0000000000014340923";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Minas Gerais";"Governador Valadares";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"346,50";"0,00"
"0000000000014341749";"Aéreo";"Brasil";"Minas Gerais";"Goianá";"Brasil";"Santa Catarina";"Florianópolis";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"460,86";"0,00"
"0000000000014341749";"Aéreo";"Brasil";"Santa Catarina";"Florianópolis";"Brasil";"Minas Gerais";"Goianá";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"467,27";"0,00"
"0000000000014341958";"Aéreo";"Brasil";"Minas Gerais";"Uberlândia";"Brasil";"Minas Gerais";"Goianá";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"582,11";"0,00"
"0000000000014341958";"Aéreo";"Brasil";"Minas Gerais";"Goianá";"Brasil";"Minas Gerais";"Uberlândia";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"484,14";"0,00"
"0000000000014342418";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Minas Gerais";"Governador Valadares";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"233,50";"0,00"
"0000000000014342418";"Aéreo";"Brasil";"Minas Gerais";"Governador Valadares";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"496,60";"0,00"
"0000000000014342418";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Argentina";"";"Buenos Aires";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1398,93";"0,00"
"0000000000014342418";"Aéreo";"Argentina";"";"Buenos Aires";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1008,63";"0,00"
"0000000000014343659";"Aéreo";"Brasil";"Roraima";"Boa Vista";"Argentina";"";"Buenos Aires";"Argentina";"";"Buenos Aires";"Brasil";"Roraima";"Boa Vista";"2651,65";"0,00"
"0000000000014344568";"Aéreo";"Brasil";"Alagoas";"Maceió";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"397,43";"0,00"
"0000000000014344568";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Alagoas";"Maceió";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"396,94";"0,00"
"0000000000014344847";"Aéreo";"Brasil";"Alagoas";"Maceió";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"585,61";"0,00"
"0000000000014344847";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Alagoas";"Maceió";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"880,97";"0,00"
"0000000000014346238";"Aéreo";"Brasil";"Mato Grosso do Sul";"Dourados";"Brasil";"Minas Gerais";"Juiz de Fora";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"838,78";"0,00"
"0000000000014346238";"Aéreo";"Brasil";"Minas Gerais";"Juiz de Fora";"Brasil";"Mato Grosso do Sul";"Dourados";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"838,78";"0,00"
"0000000000014346695";"Aéreo";"Brasil";"Roraima";"Boa Vista";"Argentina";"";"Buenos Aires";"Argentina";"";"Buenos Aires";"Brasil";"Roraima";"Boa Vista";"2651,65";"0,00"
"0000000000014346716";"Aéreo";"Brasil";"Roraima";"Boa Vista";"Argentina";"";"Buenos Aires";"Argentina";"";"Buenos Aires";"Brasil";"Roraima";"Boa Vista";"2651,65";"0,00"
"0000000000014346914";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"Minas Gerais";"Goianá";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"239,33";"0,00"
"0000000000014346914";"Aéreo";"Brasil";"Minas Gerais";"Goianá";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"234,85";"0,00"
"0000000000014346914";"Aéreo";"Brasil";"São Paulo";"Campinas";"Brasil";"São Paulo";"Presidente Prudente";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"194,71";"0,00"
"0000000000014346914";"Aéreo";"Brasil";"São Paulo";"Presidente Prudente";"Brasil";"São Paulo";"Campinas";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"186,20";"0,00"
"0000000000014347435";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Espanha";"";"Madri";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1455,79";"0,00"
"0000000000014347435";"Aéreo";"Espanha";"";"Madri";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1916,67";"0,00"
"0000000000014349301";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"1469,80";"0,00"
"0000000000014349754";"Aéreo";"Brasil";"Santa Catarina";"Florianópolis";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Distrito Federal";"Brasília";"Brasil";"Santa Catarina";"Florianópolis";"579,79";"0,00"
"0000000000014352354";"Aéreo";"Alemanha";"";"Düsseldorf";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"0,00";"0,00"
"0000000000014352354";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Países Baixos";"";"Amsterdam";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"3937,81";"0,00"
"0000000000014354731";"Aéreo";"Brasil";"Minas Gerais";"Belo Horizonte";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"113,03";"0,00"
"0000000000014354731";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Minas Gerais";"Belo Horizonte";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"293,80";"0,00"
"0000000000014355302";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Distrito Federal";"Brasília";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"140,20";"0,00"
"0000000000014355302";"Aéreo";"Brasil";"Distrito Federal";"Brasília";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"138,33";"0,00"
"0000000000014355375";"Aéreo";"Brasil";"Pernambuco";"Recife";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"543,90";"0,00"
"0000000000014355375";"Aéreo";"Brasil";"Rio de Janeiro";"Rio de Janeiro";"Brasil";"Pernambuco";"Recife";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"428,95";"0,00"
"0000000000014355973";"Aéreo";"Brasil";"Minas Gerais";"Goianá";"Brasil";"São Paulo";"São Paulo";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"352,22";"0,00"
"0000000000014355973";"Aéreo";"Brasil";"São Paulo";"São Paulo";"Brasil";"Minas Gerais";"Goianá";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"Sem Informação";"358,63";"0,00"
